WordRep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s
avada01,avada,a,0.5437316714299449,0,919.3745832785254,1617.306323274073,3198.5754082966405,919.3745832785254,1617.306323274073,3198.5754082966405
avada01,avada,a,0.5499816714299449,0.00625,876.4541477291101,1660.615201211934,3212.8131667441385,855.5853804181078,1647.7917038860735,3218.200588158759
avada01,avada,a,0.5562316714299449,0.012500000000000002,770.9274102466877,1665.4535871722135,3243.213189435497,786.7989625127766,1659.5108041536116,3245.4078578640692
avada01,avada,a,0.562481671429945,0.018750000000000003,713.015329562532,1652.4636240766877,3280.197217412573,719.0291384152733,1655.1288175403251,3270.2081369994326
avada01,avada,a,0.568731671429945,0.025,673.1446754366,1647.4692413720743,3287.2140041502275,670.2812636189676,1648.7164805049972,3289.836067435813
avada01,avada,a,0.5749816714299449,0.03125000000000001,624.6837858577708,1646.2165760662301,3302.0969807446386,639.0953291369237,1644.943333063038,3301.7719466650415
avada01,avada,a,0.5812316714299449,0.037500000000000006,619.4575261164006,1641.1441817508091,3316.004855100259,624.449959442512,1639.715374234889,3323.2105542417926
avada01,avada,a,0.5874816714299449,0.043750000000000004,629.2085663533643,1631.785364887627,3351.52982688048,611.620823026166,1632.5749943022827,3334.6430352579573
avada01,avada,a,0.593731671429945,0.05,586.1963766087331,1624.7954362684115,3336.394423793133,581.4555617266519,1625.0107356431092,3348.7274622729533
avada01,avada,a,0.599981671429945,0.05625,528.9617422178586,1618.4514057732897,3358.2581361452476,527.7213399239141,1618.9426290426845,3385.446990225439
avada01,avada,a,0.6062316714299449,0.0625,468.0059009451507,1613.5810450863523,3461.688410737937,466.0303966856568,1613.196074955663,3405.5366587406747
avada01,avada,a,0.6124816714299449,0.06875,401.1235468939609,1607.5557740073477,3396.6634293388393,406.89974457069906,1604.5119206918662,3404.222923234171
avada01,avada,a,0.6187316714299449,0.075,351.56978587298545,1592.3989429818985,3354.316929625738,355.6084379236053,1598.2221885193333,3363.8366095853576
avada01,avada,a,0.624981671429945,0.08125,314.13198100386956,1594.711848568754,3340.529469791496,315.88271124430065,1597.9845719734876,3325.4297307180864
avada01,avada,a,0.631231671429945,0.0875,281.94636685604695,1606.8429243698106,3281.442792737025,285.35571745980036,1609.6821100839377,3284.331804604973
avada01,avada,a,0.6374816714299449,0.09375,259.98880451948463,1627.4915573132487,3231.023151286397,259.98880451948463,1627.4915573132487,3231.023151286397
avada01,avada,non,0.6437316714299449,0.1,,,,,,
avada01,avada,non,0.6499816714299449,0.10625,,,,,,
avada01,avada,non,0.656231671429945,0.1125,,,,,,
avada01,avada,non,0.662481671429945,0.11875,,,,,,
avada01,avada,non,0.6687316714299449,0.125,,,,,,
avada01,avada,non,0.6749816714299449,0.13125,,,,,,
avada01,avada,non,0.6812316714299449,0.1375,,,,,,
avada01,avada,non,0.687481671429945,0.14375000000000002,,,,,,
avada01,avada,non,0.693731671429945,0.15,,,,,,
avada01,avada,non,0.6999816714299449,0.15625,,,,,,
avada01,avada,non,0.7062316714299449,0.1625,,,,,,
avada01,avada,non,0.7124816714299449,0.16875,,,,,,
avada01,avada,a,0.718731671429945,0.17500000000000002,577.82112490946,1630.1635674945796,3227.5540495793252,577.82112490946,1630.1635674945796,3227.5540495793252
avada01,avada,a,0.724981671429945,0.18125,649.236253621331,1626.0757743544993,3202.498447083313,641.7410311049199,1624.1140810101394,3228.1109597264913
avada01,avada,a,0.7312316714299449,0.1875,698.1657147839686,1616.1029011813384,3254.280382516835,695.8055211088291,1628.1180056765922,3242.2370802963574
avada01,avada,a,0.7374816714299449,0.19375,740.0145949211876,1642.175341493938,3269.9324112889244,749.5717133228706,1624.888043851237,3281.45216617891
avada01,avada,a,0.7437316714299449,0.2,810.5348302634554,1616.3858888784341,3320.1437047309714,803.6469818368352,1623.9146301064914,3313.5375038612233
avada01,avada,a,0.749981671429945,0.20625000000000002,860.3915203258626,1613.1826599471026,3350.536395563772,847.7881938483828,1616.8006059569843,3316.759880214373
avada01,avada,a,0.756231671429945,0.2125,872.4382309558298,1620.8332690454163,3279.5995403483757,879.5931717937582,1630.1476420427482,3287.2556334745027
avada01,avada,a,0.7624816714299449,0.21875,905.949764099582,1656.4269971357264,3231.630964511361,901.3294387342956,1655.0361640105439,3253.9494190603923
avada01,avada,a,0.7687316714299449,0.225,925.6003211474749,1687.8482258504891,3250.61775232144,920.868144151008,1684.8245090789721,3234.795548663978
avada01,avada,a,0.7749816714299449,0.23125,931.0543472059674,1710.1983042507013,3222.137929159134,928.8855291261519,1706.282851681089,3211.1203798956626
avada01,avada,a,0.781231671429945,0.23750000000000002,930.0019190250133,1720.8020249420763,3160.6054582064135,935.0191439458022,1724.6378538113515,3171.53906691329
avada01,avada,a,0.787481671429945,0.24375,944.0011656064257,1742.913232241277,3131.8738133743223,926.178381978551,1717.3138463316639,3139.8792057245487
avada01,avada,a,0.7937316714299449,0.25000000000000006,904.532061304214,1688.2262818116392,3127.158345592911,910.0133872279358,1693.2135322053357,3132.464441906395
avada01,avada,a,0.799981671429945,0.25625000000000003,881.5069347731677,1648.5010825630911,3138.3611667519535,892.5537709339038,1657.5497894429166,3122.148561321877
avada01,avada,a,0.8062316714299449,0.2625,891.6223167243295,1635.9220039540191,3100.926171620765,892.0509196716583,1631.6012919713046,3105.528580645203
avada01,avada,a,0.812481671429945,0.26875000000000004,903.0235075174779,1610.3807893968035,3077.2984035628906,904.9027648069228,1615.2355892359255,3093.684680583175
