Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker
avada01,avada,a,0.6187316714299449,-0.2625,351.56978587298545,1592.3989429818985,3354.316929625738,355.6084379236053,1602.7701729904177,3363.8366095853576,Clara
avada01,avada,a,0.624981671429945,-0.25625,314.13198100386956,1594.711848568754,3340.529469791496,315.88271124430065,1603.9521493016355,3325.4297307180864,Clara
avada01,avada,a,0.631231671429945,-0.25,281.94636685604695,1606.8429243698106,3281.442792737025,285.35571745980036,1612.7380646433683,3284.331804604973,Clara
avada01,avada,a,0.6374816714299449,-0.24375,259.98880451948463,1627.4915573132487,3231.023151286397,259.98880451948463,1627.4915573132487,3231.023151286397,Clara
avada01,avada,non,0.6437316714299449,-0.2375,,,,,,,Clara
avada01,avada,non,0.6499816714299449,-0.23125,,,,,,,Clara
avada01,avada,non,0.656231671429945,-0.225,,,,,,,Clara
avada01,avada,non,0.662481671429945,-0.21875,,,,,,,Clara
avada01,avada,non,0.6687316714299449,-0.2125,,,,,,,Clara
avada01,avada,non,0.6749816714299449,-0.20625,,,,,,,Clara
avada01,avada,non,0.6812316714299449,-0.2,,,,,,,Clara
avada01,avada,non,0.687481671429945,-0.19375,,,,,,,Clara
avada01,avada,non,0.693731671429945,-0.1875,,,,,,,Clara
avada01,avada,non,0.6999816714299449,-0.18125,,,,,,,Clara
avada01,avada,non,0.7062316714299449,-0.175,,,,,,,Clara
avada01,avada,non,0.7124816714299449,-0.16875,,,,,,,Clara
avada01,avada,b,0.718731671429945,-0.1625,577.82112490946,1630.1635674945796,3227.5540495793252,577.82112490946,1630.1635674945796,3227.5540495793252,Clara
avada01,avada,b,0.724981671429945,-0.15625,649.236253621331,1626.0757743544993,3202.498447083313,636.8133230091445,1630.121633257766,3234.8955649378418,Clara
avada01,avada,b,0.7312316714299449,-0.15,698.1657147839686,1616.1029011813384,3254.280382516835,695.6563722138952,1625.4819091028683,3254.781562952701,Clara
avada01,avada,b,0.7374816714299449,-0.14375,740.0145949211876,1642.175341493938,3269.9324112889244,749.7262514728321,1622.251947277513,3277.8872920787903,Clara
avada01,avada,b,0.7437316714299449,-0.1375,810.5348302634554,1616.3858888784341,3320.1437047309714,798.6799535856265,1617.0799542900816,3299.1060231966417,Clara
avada01,avada,b,0.749981671429945,-0.13125,860.3915203258626,1613.1826599471026,3350.536395563772,841.6200768152967,1623.2667654605912,3296.5685221047993,Clara
avada01,avada,b,0.756231671429945,-0.125,872.4382309558298,1620.8332690454163,3279.5995403483757,874.5588162913391,1635.9183849837643,3281.526603074319,Clara
avada01,avada,b,0.7624816714299449,-0.11875,905.949764099582,1656.4269971357264,3231.630964511361,900.2306579723831,1657.4860755608604,3257.1975445061767,Clara
