Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
-40.60	-55.42	21.55	-161.05	55.00	0.00	0.00	-49.62	69.48	17.38	4.96	-18.12	0.00	0.00	28.87	10.12	-26.37	127.14	-75.18	0.00	0.00	55.54	9.19	-41.21	87.52	58.80	0.00	0.00	74.56	10.18	-59.22	81.89	-0.63	0.00	0.00	82.25	16.16	-37.70	-78.99	67.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.61	-55.47	21.56	-161.05	55.00	0.00	0.00	-49.60	69.52	17.36	4.99	-18.12	0.00	0.00	28.88	10.05	-26.36	127.14	-75.19	0.00	0.00	55.54	9.27	-41.16	88.01	58.55	0.00	0.00	74.59	10.06	-59.17	81.86	-0.66	0.00	0.00	82.15	16.11	-37.69	-79.03	67.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.62	-55.49	21.57	-161.06	55.01	0.00	0.00	-49.60	69.55	17.36	4.97	-18.11	0.00	0.00	29.17	10.12	-26.39	126.59	-75.25	0.00	0.00	55.76	9.35	-41.07	88.74	58.22	0.00	0.00	74.78	10.15	-59.14	81.87	-0.61	0.00	0.00	82.56	16.19	-37.55	-79.17	67.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.61	-55.49	21.57	-161.08	55.00	0.00	0.00	-49.61	69.55	17.36	4.95	-18.11	0.00	0.00	29.00	10.11	-26.40	126.78	-75.21	0.00	0.00	55.77	9.29	-41.05	89.32	57.80	0.00	0.00	74.63	10.06	-59.13	81.86	-0.63	0.00	0.00	82.12	16.04	-37.63	-78.84	67.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.60	-55.46	21.57	-161.02	54.97	0.00	0.00	-49.60	69.55	17.37	4.93	-18.13	0.00	0.00	28.87	9.94	-26.47	126.89	-75.18	0.00	0.00	55.74	9.25	-41.04	89.98	57.50	0.00	0.00	74.62	9.94	-59.11	81.74	-0.57	0.00	0.00	82.33	16.05	-37.63	-78.89	67.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.61	-55.47	21.56	-161.07	55.00	0.00	0.00	-49.60	69.51	17.37	5.00	-18.12	0.00	0.00	29.00	10.16	-26.45	126.60	-75.25	0.00	0.00	55.82	9.44	-40.93	90.55	57.18	0.00	0.00	74.67	10.14	-59.09	81.83	-0.61	0.00	0.00	82.30	16.25	-37.52	-79.08	67.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.62	-55.50	21.57	-161.09	55.01	0.00	0.00	-49.60	69.55	17.36	4.97	-18.11	0.00	0.00	29.05	10.16	-26.48	126.51	-75.27	0.00	0.00	55.88	9.31	-40.90	91.01	56.79	0.00	0.00	74.54	10.07	-59.11	81.85	-0.62	0.00	0.00	82.25	16.17	-37.57	-78.97	67.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.61	-55.48	21.57	-161.06	55.00	0.00	0.00	-49.60	69.55	17.36	4.95	-18.11	0.00	0.00	29.24	10.17	-26.54	126.10	-75.30	0.00	0.00	56.08	9.26	-40.81	91.54	56.39	0.00	0.00	74.73	10.02	-59.17	81.76	-0.63	0.00	0.00	82.16	16.07	-37.63	-79.15	67.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.62	-55.48	21.56	-161.08	55.02	0.00	0.00	-49.60	69.53	17.36	5.00	-18.10	0.00	0.00	28.98	10.11	-26.58	126.36	-75.35	0.00	0.00	55.98	9.37	-40.74	91.85	56.07	0.00	0.00	74.70	10.11	-59.13	81.78	-0.63	0.00	0.00	82.16	16.11	-37.60	-79.00	67.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.61	-55.50	21.56	-161.10	55.01	0.00	0.00	-49.61	69.56	17.36	4.94	-18.11	0.00	0.00	29.15	10.09	-26.59	125.93	-75.40	0.00	0.00	56.09	9.30	-40.65	92.03	55.84	0.00	0.00	74.77	10.02	-59.07	81.73	-0.62	0.00	0.00	82.48	15.98	-37.54	-79.18	67.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
