Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
-40.69	-55.54	21.43	-161.28	55.41	0.00	0.00	-49.72	69.66	17.24	4.55	-17.73	0.00	0.00	37.61	10.54	-23.11	147.49	-56.56	0.00	0.00	58.99	12.38	-44.93	88.47	65.04	0.00	0.00	71.60	9.69	-63.43	83.40	-2.23	0.00	0.00	78.21	15.16	-32.89	-100.56	65.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.56	21.43	-161.35	55.41	0.00	0.00	-49.72	69.68	17.24	4.54	-17.74	0.00	0.00	37.51	10.51	-23.11	147.57	-56.44	0.00	0.00	58.92	12.33	-44.99	88.46	65.17	0.00	0.00	71.61	9.74	-63.44	83.41	-2.23	0.00	0.00	78.45	15.21	-32.92	-100.78	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.58	21.43	-161.38	55.42	0.00	0.00	-49.72	69.70	17.24	4.53	-17.73	0.00	0.00	37.64	10.53	-23.17	147.68	-56.43	0.00	0.00	58.74	12.24	-44.99	88.46	65.21	0.00	0.00	71.56	9.71	-63.35	83.37	-2.30	0.00	0.00	78.29	15.28	-32.85	-100.64	65.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.55	21.43	-161.31	55.40	0.00	0.00	-49.71	69.67	17.24	4.56	-17.74	0.00	0.00	37.59	10.56	-23.18	147.75	-56.35	0.00	0.00	58.94	12.38	-45.06	88.83	65.41	0.00	0.00	71.59	9.82	-63.40	83.42	-2.24	0.00	0.00	78.44	15.33	-32.90	-100.58	65.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.57	21.43	-161.37	55.42	0.00	0.00	-49.72	69.70	17.24	4.52	-17.73	0.00	0.00	37.49	10.52	-23.23	147.79	-56.33	0.00	0.00	58.79	12.28	-45.10	88.90	65.46	0.00	0.00	71.57	9.76	-63.36	83.40	-2.29	0.00	0.00	78.31	15.18	-32.85	-100.59	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.56	21.43	-161.30	55.41	0.00	0.00	-49.71	69.69	17.24	4.54	-17.73	0.00	0.00	37.34	10.48	-23.24	147.91	-56.30	0.00	0.00	58.66	12.33	-45.15	89.10	65.59	0.00	0.00	71.55	9.84	-63.36	83.41	-2.28	0.00	0.00	78.50	15.27	-32.90	-100.74	65.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.58	21.43	-161.32	55.42	0.00	0.00	-49.71	69.71	17.23	4.53	-17.73	0.00	0.00	37.40	10.48	-23.29	148.00	-56.34	0.00	0.00	58.63	12.26	-45.11	89.44	65.63	0.00	0.00	71.62	9.86	-63.38	83.46	-2.26	0.00	0.00	78.32	15.23	-32.77	-100.65	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.53	21.43	-161.28	55.39	0.00	0.00	-49.72	69.68	17.24	4.51	-17.74	0.00	0.00	37.39	10.49	-23.43	147.94	-56.36	0.00	0.00	58.57	12.24	-45.19	89.66	65.76	0.00	0.00	71.56	9.82	-63.34	83.41	-2.20	0.00	0.00	78.54	15.22	-32.87	-100.77	65.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.55	21.43	-161.27	55.40	0.00	0.00	-49.71	69.69	17.24	4.54	-17.73	0.00	0.00	37.36	10.52	-23.52	148.05	-56.43	0.00	0.00	58.49	12.28	-45.19	89.96	65.82	0.00	0.00	71.60	9.84	-63.37	83.43	-2.25	0.00	0.00	78.35	15.15	-32.84	-100.67	65.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.55	21.43	-161.29	55.41	0.00	0.00	-49.72	69.69	17.23	4.53	-17.72	0.00	0.00	37.28	10.48	-23.64	148.25	-56.55	0.00	0.00	58.46	12.25	-45.29	90.33	65.84	0.00	0.00	71.61	9.88	-63.36	83.45	-2.23	0.00	0.00	78.49	15.34	-32.92	-100.63	65.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.56	21.42	-161.34	55.42	0.00	0.00	-49.72	69.69	17.24	4.52	-17.73	0.00	0.00	37.26	10.49	-23.76	148.35	-56.68	0.00	0.00	58.29	12.26	-45.30	90.56	65.89	0.00	0.00	71.56	9.75	-63.37	83.43	-2.29	0.00	0.00	78.40	15.22	-32.88	-100.70	65.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
