Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker,Ch3_X,Ch3_Y,Ch4_X,Ch4_Y
gentlemanly,gentlemanly,1,1.077926827897057,-0.14375000000000002,541.8962133993151,2075.93827259996,3053.9094250599233,541.8962133993151,2075.93827259996,3053.9094250599233,S1,36.479291199043715,10.03332523058533,60.184633445399854,12.073325230585331
gentlemanly,gentlemanly,1,1.0841768278970572,-0.1375,567.3850878693875,1999.1550170417547,2954.579277452008,577.674744489198,2010.6120241277251,2985.9075900240823,S1,35.93821272735917,9.9388741897252,59.39106098829074,12.000993517801595
gentlemanly,gentlemanly,1,1.090426827897057,-0.13125,607.1873756065892,1956.742782741461,2949.234067560316,617.3653400543902,1962.5728134538786,2947.1599445360534,S1,35.307783096295715,9.897742707526797,58.46419895268758,11.861901271445461
gentlemanly,gentlemanly,1,1.0966768278970571,-0.125,665.7873632612664,1931.8206405784204,2937.6664885958367,660.8841344740529,1935.3065914729652,2924.174874737495,S1,34.535366429629036,9.785617707526795,57.703493860453435,11.727915046117067
gentlemanly,gentlemanly,1,1.102926827897057,-0.11875,714.7486245831943,1917.3563510990145,2885.624068056333,704.0035393020295,1911.9563300758753,2871.5830670300984,S1,33.92446515818359,9.698995138351197,56.85794166021437,11.788006482198403
gentlemanly,gentlemanly,1,1.109176827897057,-0.1125,744.4089922626137,1886.6919985501906,2791.4586444381257,744.1907968920674,1885.7989235384994,2817.081087321307,S1,33.45451168649905,9.650408563918663,56.08451168649905,11.870959143608133
gentlemanly,gentlemanly,1,1.1154268278970572,-0.10625,777.1402555153192,1853.3484209662931,2722.472360988823,781.3456143885152,1868.0814724484337,2786.27469351211,S1,32.969631014575434,9.532660184468261,55.63038830704864,11.914174769414673
gentlemanly,gentlemanly,1,1.121676827897057,-0.1,818.6505534673976,1850.9277061048674,2756.862454500801,814.6628685085749,1863.0263899421025,2801.1230684619427,S1,32.503725691755996,9.4564967589008,55.194346640381994,12.068137154122002
gentlemanly,gentlemanly,1,1.1279268278970571,-0.09375,855.9850049872475,1875.0595746913425,2863.937412268658,842.1983331519101,1875.1524552841627,2838.742193541789,S1,32.23831955866173,9.406663425567466,54.83331226618852,12.238343866905739
gentlemanly,gentlemanly,1,1.134176827897057,-0.0875,873.1418513514735,1892.1257959575255,2915.1450840744465,860.7732326024073,1887.7907792320523,2877.706710381992,S1,32.05732036893653,9.3747548616488,54.74109467718053,12.4313968774196
gentlemanly,gentlemanly,1,1.140426827897057,-0.08125,872.2873286027752,1904.393659293605,2910.0984371493482,865.8208514924627,1897.5957348565234,2882.831905191378,S1,31.854736225328395,9.456006482198402,54.8895048616488,12.78077511851881
gentlemanly,gentlemanly,1,1.1466768278970572,-0.075,861.0390590796015,1912.1121433874475,2851.3793537157826,858.6838798066983,1900.183388030904,2815.0054593723125,S1,31.694326851134928,9.515709143608133,54.9471274308244,13.092764584946408
gentlemanly,gentlemanly,1,1.152926827897057,-0.06875,842.7252517377183,1897.4895765156157,2683.538587251807,832.7646144071019,1869.3510465790603,2664.5688565224937,S1,31.570157753643866,9.544502430824402,55.11518206188787,13.2435072924732
gentlemanly,gentlemanly,1,1.1591768278970571,-0.0625,794.529532403986,1809.6219453169547,2458.788628599892,762.0585441944913,1840.0515670680204,2570.9624570001283,S1,31.341864466427594,9.632503241099203,55.395006482198404,13.408135533572407
gentlemanly,gentlemanly,1,1.165426827897057,-0.05625,648.9208484417695,1616.0142172106873,2437.8773361907174,650.8629058492303,1809.2824040964276,2545.599558016649,S1,31.22,9.676168287216267,55.47,13.5485048616488
gentlemanly,gentlemanly,2,1.171676827897057,-0.05,509.13833670193543,1816.464413426026,2682.3316816974775,540.9773258536637,1790.617152858724,2619.610751820415,S1,31.192287615292667,9.767594677180538,55.481084953882934,13.650967246356137
gentlemanly,gentlemanly,2,1.1779268278970572,-0.04375,464.87279241728606,1994.3499579909878,2777.022444412023,469.3292446610164,1749.8654163287817,2655.8616128791527,S1,31.121995138351195,9.886005671923604,55.5380048616488,13.724002430824402
gentlemanly,gentlemanly,2,1.184176827897057,-0.0375,433.97660486382756,1690.787969781663,2679.3127383248993,443.6731224474418,1672.294419856431,2669.653623602642,S1,31.063112845878,9.836785994743066,55.50311284587799,13.7
gentlemanly,gentlemanly,2,1.1904268278970571,-0.03125,425.0885378190265,1572.469098183786,2617.7959605459573,431.299980278712,1597.5587844827035,2652.465673558787,S1,30.87332036893653,9.784587384707336,55.3424951383512,13.7087524308244
gentlemanly,gentlemanly,2,1.196676827897057,-0.025,430.3633352585961,1529.419285482661,2618.339106618776,430.11384332515826,1527.9396728083577,2637.6064268884898,S1,30.673987035603197,9.836127430824401,55.27849675890079,13.643987035603198
gentlemanly,gentlemanly,2,1.202926827897057,-0.01875,430.41819400316643,1481.9306347586262,2640.7207592132895,437.27275243874675,1475.0383111537965,2632.922222843965,S1,30.521658563918663,9.881336574432535,55.314839005256935,13.436819558661728
gentlemanly,gentlemanly,2,1.2091768278970572,-0.0125,426.55567626420395,1413.7650132201024,2651.1308900092417,465.7619006825516,1416.262666748363,2632.7780567051673,S1,30.28561284587799,9.831169907765869,55.40204733859027,13.218830092234132
gentlemanly,gentlemanly,2,1.215426827897057,-0.00625,476.8752008007886,1353.0923522663606,2628.8258614632327,519.6190981415966,1362.7735791941425,2620.337758825149,S1,30.1207443280764,9.861747569175598,55.4810032410992,13.124983794503995
